sample_ID,sample_name,classification
Sample_0929,RS127,S
Sample_0940,RS41,S
Sample_0941,RS52,S
Sample_0952,RS32,S
Sample_0953,RS114,R
Sample_0964,RS34,S
Sample_0965,RS73,R
Sample_0976,RS66,S
Sample_0977,RS110,R
Sample_0987,RS17,S
Sample_0988,RS132,S
Sample_0989,RS82,R
Sample_0999,RS138,S
Sample_1000,RS78,S
Sample_1001,RS91,R
Sample_1011,RS3,S
Sample_1012,RS104,S
Sample_1013,RS70,R
Sample_1014,RS5,R
Sample_1015,All,S
Sample_1016,NK-74-5-b,S
Sample_1017,RS65,R
Sample_1018,RS55,R
Sample_1019,5-most-R,R
Sample_1020,RS79,R
Sample_1021,RS142,R
Sample_1022,All,R
Sample_1023,RS116,R
Sample_1024,RS36,R
Sample_1025,All,R
Sample_1026,RS27,R
Sample_1027,RS11,R
Sample_1028,RS47,R
Sample_1029,RS23,R
Sample_1030,RS30,R
Sample_1031,RS16,S
Sample_1032,RS62,R
Sample_1033,RS9,R
Sample_1034,NK25,R
Sample_1035,RS59,R
Sample_1036,5-most-S,S
Sample_1037,NK-74-5,S
Sample_0365,Itasca-C12,NA
Sample_0366,Itasca-C12,NA
Sample_0377,Itasca-C12,NA
Sample_0378,Itasca-C12,NA
Sample_0389,Itasca-C12,NA
Sample_0399,Itasca-C12,NA
Sample_0400,Itasca-C12,NA
Sample_0410,Itasca-C12,NA
Sample_0411,Itasca-C12,NA
Sample_0412,Itasca-C12,NA
Sample_0422,Itasca-C12,NA
Sample_0423,Itasca-C12,NA
Sample_0424,Itasca-C12,NA
Sample_0434,Itasca-C12,NA
Sample_0435,Itasca-C12,NA
Sample_0436,Itasca-C12,NA
Sample_0446,Itasca-C12,NA
Sample_0447,Itasca-C12,NA
Sample_0448,Itasca-C12,NA
Sample_0449,Itasca-C12,NA
Sample_0450,Itasca-C12,NA
Sample_0451,Itasca-C12,NA
Sample_0452,Itasca-C12,NA
Sample_0453,Itasca-C12,NA
Sample_0454,Itasca-C12,NA
Sample_0455,Itasca-C12,NA
Sample_0456,Itasca-C12,NA
Sample_0457,Itasca-C12,NA
Sample_0458,Itasca-C12,NA
Sample_0459,Itasca-C12,NA
Sample_0460,Itasca-C12,NA
Sample_0461,Itasca-C12,NA
Sample_0462,Itasca-C12,NA
Sample_0463,Itasca-C12,NA
Sample_0464,Itasca-C12,NA
Sample_0465,Itasca-C12,NA
Sample_0466,Itasca-C12,NA
Sample_0467,Itasca-C12,NA
Sample_0468,Itasca-C12,NA
Sample_0469,Itasca-C12,NA
Sample_0470,Itasca-C12,NA
Sample_0471,Itasca-C12,NA
Sample_0472,Itasca-C12,NA
Sample_0473,Itasca-C12,NA
Sample_0474,Itasca-C12,NA
Sample_0475,Itasca-C12,NA
Sample_0476,Itasca-C12,NA
Sample_0477,Itasca-C12,NA
Sample_0478,Itasca-C12,NA
Sample_0479,Itasca-C12,NA
Sample_0480,Itasca-C12,NA
Sample_0481,Itasca-C12,NA
Sample_0482,Itasca-C12,NA
Sample_0483,Itasca-C12,NA
Sample_0484,Itasca-C12,NA
Sample_0485,Itasca-C12,NA
Sample_0486,Itasca-C12,NA
Sample_0487,Itasca-C12,NA
Sample_0488,Itasca-C12,NA
Sample_0489,Itasca-C12,NA
Sample_0490,Itasca-C12,NA
Sample_0491,Itasca-C12,NA
Sample_0492,Itasca-C12,NA
Sample_0493,Itasca-C12,NA
Sample_0494,Itasca-C12,NA
Sample_0495,Itasca-C12,NA
Sample_0496,Itasca-C12,NA
Sample_0497,Itasca-C12,NA
Sample_0498,Itasca-C12,NA
Sample_0499,Itasca-C12,NA
Sample_0500,Itasca-C12,NA
Sample_0501,Itasca-C12,NA
Sample_0502,Itasca-C12,NA
Sample_0503,Itasca-C12,NA
Sample_0504,Itasca-C12,NA
Sample_0505,Itasca-C12,NA
Sample_0506,Itasca-C12,NA
Sample_0507,Itasca-C12,NA
Sample_0508,Itasca-C12,NA
Sample_0509,Itasca-C12,NA
Sample_0510,Itasca-C12,NA
Sample_0511,Itasca-C12,NA
Sample_0512,Itasca-C12,NA
Sample_0513,Itasca-C12,NA
Sample_0514,Itasca-C12,NA
Sample_0515,Itasca-C12,NA
Sample_0516,Itasca-C12,NA
Sample_0517,Itasca-C12,NA
Sample_0518,Itasca-C12,NA
Sample_0519,Itasca-C12,NA
Sample_0520,Itasca-C12,NA
Sample_0521,Itasca-C12,NA
Sample_0522,Itasca-C12,NA
Sample_0523,Itasca-C12,NA
Sample_0524,Itasca-C12,NA
Sample_0525,Itasca-C12,NA
Sample_0526,Itasca-C12,NA
Sample_0527,Itasca-C12,NA
Sample_0528,Itasca-C12,NA
Sample_0529,Itasca-C12,NA
Sample_0530,Itasca-C12,NA
Sample_0531,Itasca-C12,NA
Sample_0532,Itasca-C12,NA
Sample_0533,Itasca-C12,NA
Sample_0534,Itasca-C12,NA
Sample_0535,Itasca-C12,NA
Sample_0536,Itasca-C12,NA
Sample_0537,Itasca-C12,NA
Sample_0538,Itasca-C12,NA
Sample_0539,Itasca-C12,NA
Sample_0540,Itasca-C12,NA
Sample_0541,Itasca-C12,NA
Sample_0542,Itasca-C12,NA
Sample_0543,Itasca-C12,NA
Sample_0544,Itasca-C12,NA
Sample_0545,Itasca-C12,NA
Sample_0546,Itasca-C12,NA
Sample_0547,Itasca-C12,NA
Sample_0548,Itasca-C12,NA
Sample_0555,Itasca-C12,NA
Sample_0556,Itasca-C12,NA
Sample_0557,Itasca-C12,NA
Sample_0558,Itasca-C12,NA
Sample_0559,Itasca-C12,NA
Sample_0560,Itasca-C12,NA
Sample_0567,Itasca-C12,NA
Sample_0568,Itasca-C12,NA
Sample_0569,Itasca-C12,NA
Sample_0570,Itasca-C12,NA
Sample_0571,Itasca-C12,NA
Sample_0572,Itasca-C12,NA
Sample_0579,Itasca-C12,NA
Sample_0580,Itasca-C12,NA
Sample_0581,Itasca-C12,NA
Sample_0582,Itasca-C12,NA
Sample_0583,Itasca-C12,NA
Sample_0584,Itasca-C12,NA
Sample_0591,Itasca-C12,NA
Sample_0592,Itasca-C12,NA
Sample_0593,Itasca-C12,NA
Sample_0594,Itasca-C12,NA
Sample_0595,Itasca-C12,NA
Sample_0603,Itasca-C12,NA
Sample_0604,Itasca-C12,NA
Sample_0605,Itasca-C12,NA
Sample_0606,Itasca-C12,NA
Sample_0607,Itasca-C12,NA
Sample_0615,Itasca-C12,NA
Sample_0616,Itasca-C12,NA
Sample_0617,Itasca-C12,NA
Sample_0618,Itasca-C12,NA
Sample_0619,Itasca-C12,NA
Sample_0626,Itasca-C12,NA
Sample_0627,Itasca-C12,NA
Sample_0628,Itasca-C12,NA
Sample_0629,Itasca-C12,NA
Sample_0630,Itasca-C12,NA
Sample_0955,Itasca-C12,NA